supplier,demander
-8.0,0.0
-8.0,0.0
76.12587676963211,84.12587676963211
76.12587676963211,84.12587676963211
76.12587676963211,84.12587676963211
-8.0,0.0
59.125876769632114,-84.12587676963211
76.12587676963211,84.12587676963211
76.12587676963211,84.12587676963211
-8.0,0.0
76.12587676963211,84.12587676963211
76.12587676963211,84.12587676963211
76.12587676963211,84.12587676963211
76.12587676963211,84.12587676963211
76.12587676963211,84.12587676963211
76.12587676963211,84.12587676963211
-8.0,0.0
76.12587676963211,84.12587676963211
59.125876769632114,-84.12587676963211
-8.0,0.0
76.12587676963211,84.12587676963211
76.12587676963211,84.12587676963211
59.125876769632114,-84.12587676963211
76.12587676963211,84.12587676963211
59.125876769632114,-84.12587676963211
76.12587676963211,84.12587676963211
59.125876769632114,-84.12587676963211
76.12587676963211,84.12587676963211
76.12587676963211,84.12587676963211
76.12587676963211,84.12587676963211
-8.0,0.0
76.12587676963211,84.12587676963211
-8.0,0.0
-8.0,0.0
59.125876769632114,-84.12587676963211
-8.0,0.0
76.12587676963211,84.12587676963211
76.12587676963211,84.12587676963211
76.12587676963211,84.12587676963211
59.125876769632114,-84.12587676963211
76.12587676963211,84.12587676963211
76.12587676963211,84.12587676963211
-8.0,0.0
-8.0,0.0
59.125876769632114,-84.12587676963211
76.12587676963211,84.12587676963211
76.12587676963211,84.12587676963211
76.12587676963211,84.12587676963211
59.125876769632114,-84.12587676963211
76.12587676963211,84.12587676963211
76.12587676963211,84.12587676963211
-5.0,0.0
76.12587676963211,84.12587676963211
76.12587676963211,84.12587676963211
76.12587676963211,84.12587676963211
-8.0,0.0
76.12587676963211,84.12587676963211
76.12587676963211,84.12587676963211
76.12587676963211,84.12587676963211
-5.0,0.0
59.125876769632114,-84.12587676963211
76.12587676963211,84.12587676963211
-5.0,0.0
76.12587676963211,84.12587676963211
76.12587676963211,84.12587676963211
76.12587676963211,84.12587676963211
76.12587676963211,84.12587676963211
76.12587676963211,84.12587676963211
76.12587676963211,84.12587676963211
-8.0,0.0
-8.0,0.0
-8.0,0.0
76.12587676963211,84.12587676963211
76.12587676963211,84.12587676963211
-8.0,0.0
76.12587676963211,84.12587676963211
76.12587676963211,84.12587676963211
76.12587676963211,84.12587676963211
59.125876769632114,-84.12587676963211
-8.0,0.0
-8.0,0.0
-8.0,0.0
59.125876769632114,-84.12587676963211
76.12587676963211,84.12587676963211
76.12587676963211,84.12587676963211
59.125876769632114,-84.12587676963211
-8.0,0.0
-5.0,0.0
76.12587676963211,84.12587676963211
76.12587676963211,84.12587676963211
76.12587676963211,84.12587676963211
-8.0,0.0
-8.0,0.0
59.125876769632114,-84.12587676963211
-8.0,0.0
-5.0,0.0
76.12587676963211,84.12587676963211
-8.0,0.0
59.125876769632114,-84.12587676963211
59.125876769632114,-84.12587676963211
